Statement,Implicit need
"I earn 50,000 rupees a month, but half of it goes to rent and the rest disappears quickly. I want to save at least 10,000, but I’m struggling.",Need to reduce stress without big sacrifices
"I earn 50,000 rupees a month, but half of it goes to rent and the rest disappears quickly. I want to save at least 10,000, but I’m struggling.",Need to save for children’s education
"I earn 50,000 rupees a month, but half of it goes to rent and the rest disappears quickly. I want to save at least 10,000, but I’m struggling.",Need to balance social life and savings
"I earn 50,000 rupees a month, but half of it goes to rent and the rest disappears quickly. I want to save at least 10,000, but I’m struggling.",Need to reduce debt while saving
"My teenage son spends all his time on video games. I want him to study more, but whenever I push, we end up fighting.",Need to improve relationship with son
"My teenage son spends all his time on video games. I want him to study more, but whenever I push, we end up fighting.",Need to improve son’s academic performance
"My teenage son spends all his time on video games. I want him to study more, but whenever I push, we end up fighting.",Need to teach responsibility
"My teenage son spends all his time on video games. I want him to study more, but whenever I push, we end up fighting.",Need to create household harmony
"I’ve been in the same job for 5 years without promotion. I feel stuck, but I’m scared to change because I need stability.",Need to earn more money
"I’ve been in the same job for 5 years without promotion. I feel stuck, but I’m scared to change because I need stability.",Need to grow professionally
"I’ve been in the same job for 5 years without promotion. I feel stuck, but I’m scared to change because I need stability.",Need to reduce stress
"I’ve been in the same job for 5 years without promotion. I feel stuck, but I’m scared to change because I need stability.",Need recognition
"I want to lose weight, but my work hours leave me no time to cook healthy food. I end up eating fast food daily. What should I do?",Need quick healthy solutions
"I want to lose weight, but my work hours leave me no time to cook healthy food. I end up eating fast food daily. What should I do?",Need to save money while eating healthy
"I want to lose weight, but my work hours leave me no time to cook healthy food. I end up eating fast food daily. What should I do?",Need to improve energy levels
"I want to lose weight, but my work hours leave me no time to cook healthy food. I end up eating fast food daily. What should I do?",Need to set a good example for kids
I can’t sleep properly because I keep overthinking about work deadlines. I feel exhausted during the day. What should I do?,Need to reduce anxiety at night
I can’t sleep properly because I keep overthinking about work deadlines. I feel exhausted during the day. What should I do?,Need to perform better at work
I can’t sleep properly because I keep overthinking about work deadlines. I feel exhausted during the day. What should I do?,Need to protect health
I can’t sleep properly because I keep overthinking about work deadlines. I feel exhausted during the day. What should I do?,Need to feel supported
"I get nervous whenever I have to present in class, even if I know the material. What should I do?",Need to reduce fear
"I get nervous whenever I have to present in class, even if I know the material. What should I do?",Need to impress peers
"I get nervous whenever I have to present in class, even if I know the material. What should I do?",Need to avoid embarrassment
"I get nervous whenever I have to present in class, even if I know the material. What should I do?",Need to get better grades
My roommate never cleans up after themselves and I feel frustrated. What should I do?,Need to reduce frustration
My roommate never cleans up after themselves and I feel frustrated. What should I do?,Need to keep peace at home
My roommate never cleans up after themselves and I feel frustrated. What should I do?,Need to live in cleanliness
My roommate never cleans up after themselves and I feel frustrated. What should I do?,Need to teach responsibility
"I saw my colleague being unfairly blamed for a mistake at work, but I was too scared to speak up. Now I feel guilty. What should I do?",Need to protect yourself
"I saw my colleague being unfairly blamed for a mistake at work, but I was too scared to speak up. Now I feel guilty. What should I do?",Need to restore fairness
"I saw my colleague being unfairly blamed for a mistake at work, but I was too scared to speak up. Now I feel guilty. What should I do?",Need to reduce guilt
"I saw my colleague being unfairly blamed for a mistake at work, but I was too scared to speak up. Now I feel guilty. What should I do?",Need to maintain reputation
"I don’t know if I should end my relationship. I feel unhappy, but I also don’t want to be alone.",Need to avoid loneliness
"I don’t know if I should end my relationship. I feel unhappy, but I also don’t want to be alone.",Need to feel valued
"I don’t know if I should end my relationship. I feel unhappy, but I also don’t want to be alone.",Need clarity
"I don’t know if I should end my relationship. I feel unhappy, but I also don’t want to be alone.",Need family approval
I feel lost in life and don’t know where I’m heading.,Need career clarity
I feel lost in life and don’t know where I’m heading.,Need peace of mind
I feel lost in life and don’t know where I’m heading.,Need social approval
I feel lost in life and don’t know where I’m heading.,Need personal growth
I was passed over for a promotion even though I worked very hard. I feel unrecognized. What should I do?,Need recognition
I was passed over for a promotion even though I worked very hard. I feel unrecognized. What should I do?,Need career growth
I was passed over for a promotion even though I worked very hard. I feel unrecognized. What should I do?,Need financial security
I was passed over for a promotion even though I worked very hard. I feel unrecognized. What should I do?,Need fairness
"I have credit card debt piling up, and I don’t know how to manage it. What should I do?",Need to reduce stress
"I have credit card debt piling up, and I don’t know how to manage it. What should I do?",Need to protect credit score
"I have credit card debt piling up, and I don’t know how to manage it. What should I do?",Need to avoid shame
"I have credit card debt piling up, and I don’t know how to manage it. What should I do?",Need freedom
My teenage son refuses to study and spends hours on his phone. I feel helpless. What should I do?,Need control
My teenage son refuses to study and spends hours on his phone. I feel helpless. What should I do?,Need connection
My teenage son refuses to study and spends hours on his phone. I feel helpless. What should I do?,Need academic success
My teenage son refuses to study and spends hours on his phone. I feel helpless. What should I do?,Need peace at home
I’ve been skipping meals because I feel too busy at work. Now I’m feeling weak. What should I do?,Need energy
I’ve been skipping meals because I feel too busy at work. Now I’m feeling weak. What should I do?,Need balance
I’ve been skipping meals because I feel too busy at work. Now I’m feeling weak. What should I do?,Need discipline
I’ve been skipping meals because I feel too busy at work. Now I’m feeling weak. What should I do?,Need support
I feel like I don’t have real friends; people only talk to me when they need something. What should I do?,Need connection
I feel like I don’t have real friends; people only talk to me when they need something. What should I do?,Need respect
I feel like I don’t have real friends; people only talk to me when they need something. What should I do?,Need belonging
I feel like I don’t have real friends; people only talk to me when they need something. What should I do?,Need honesty
I’m working 12-hour days and feel exhausted. My boss praises me but I’m burning out. What should I do?,Need rest
I’m working 12-hour days and feel exhausted. My boss praises me but I’m burning out. What should I do?,Need recognition
I’m working 12-hour days and feel exhausted. My boss praises me but I’m burning out. What should I do?,Need balance
I’m working 12-hour days and feel exhausted. My boss praises me but I’m burning out. What should I do?,Need security
I failed my math exam again and I’m scared I’ll never pass. What should I do?,Need academic success
I failed my math exam again and I’m scared I’ll never pass. What should I do?,Need confidence
I failed my math exam again and I’m scared I’ll never pass. What should I do?,Need encouragement
I failed my math exam again and I’m scared I’ll never pass. What should I do?,Need options
"My parents keep comparing me to my cousins, and I feel worthless. What should I do?",Need acceptance
"My parents keep comparing me to my cousins, and I feel worthless. What should I do?",Need self-worth
"My parents keep comparing me to my cousins, and I feel worthless. What should I do?",Need support
"My parents keep comparing me to my cousins, and I feel worthless. What should I do?",Need fairness
"I’m trying to lose weight, but I feel demotivated after no results in two weeks. What should I do?",Need patience
"I’m trying to lose weight, but I feel demotivated after no results in two weeks. What should I do?",Need guidance
"I’m trying to lose weight, but I feel demotivated after no results in two weeks. What should I do?",Need encouragement
"I’m trying to lose weight, but I feel demotivated after no results in two weeks. What should I do?",Need energy
"My partner keeps forgetting important dates like my birthday, and I feel hurt. What should I do?",Need appreciation
"My partner keeps forgetting important dates like my birthday, and I feel hurt. What should I do?",Need reassurance
"My partner keeps forgetting important dates like my birthday, and I feel hurt. What should I do?",Need attention
"My partner keeps forgetting important dates like my birthday, and I feel hurt. What should I do?",Need connection
I’m stuck in a job that pays well but makes me unhappy. What should I do?,Need happiness
I’m stuck in a job that pays well but makes me unhappy. What should I do?,Need financial security
I’m stuck in a job that pays well but makes me unhappy. What should I do?,Need purpose
I’m stuck in a job that pays well but makes me unhappy. What should I do?,Need recognition
"I want to save for a house, but I spend too much on eating out. What should I do?",Need savings
"I want to save for a house, but I spend too much on eating out. What should I do?",Need lifestyle balance
"I want to save for a house, but I spend too much on eating out. What should I do?",Need discipline
"I want to save for a house, but I spend too much on eating out. What should I do?",Need enjoyment
I feel anxious every time I have to speak in public. What should I do?,Need confidence
I feel anxious every time I have to speak in public. What should I do?,Need acceptance
I feel anxious every time I have to speak in public. What should I do?,Need growth
I feel anxious every time I have to speak in public. What should I do?,Need support
